,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
66,The Great Escape,We Are Scientists,2005-01-01,46,0.472,0.000305,0.472,0.925,4.44e-06,0.0755,-4.57,0.0415,146.97,4,0.746
67,Range Life,Pavement,1994,0,0.554,0.0414,0.554,0.737,1.16e-05,0.182,-9.42,0.0292,112.803,4,0.713
68,Spit On A Stranger,Pavement,1999,0,0.276,0.2,0.276,0.534,0.283,0.117,-11.097,0.0424,162.96,4,0.42
69,Gold Soundz,Pavement,1994,0,0.451,0.0761,0.451,0.613,0.0,0.113,-9.414,0.0313,126.299,4,0.509
70,Shady Lane / J Vs. S,Pavement,1997,0,0.489,0.312,0.489,0.641,0.00107,0.226,-6.786,0.043,110.973,4,0.0905
71,License To Confuse,Sebadoh,1994,0,0.336,0.000184,0.336,0.885,0.196,0.35,-5.796,0.0417,136.379,4,0.874
72,Silence Kit,Pavement,1994,0,0.42,0.000176,0.42,0.452,4.43e-05,0.0931,-10.998,0.0271,102.821,4,0.175
73,Elevate Me Later,Pavement,1994,0,0.224,2.05e-05,0.224,0.674,0.0381,0.36,-9.385,0.0387,98.055,4,0.33
74,Stop Breathin',Pavement,1994,0,0.351,0.166,0.351,0.339,0.894,0.14,-13.645,0.0254,153.824,3,0.243
75,Here,Pavement,1992,0,0.527,0.848,0.527,0.397,0.022,0.117,-6.656,0.0353,92.527,4,0.266
76,Gigantic,Pixies,1988-08-22,0,0.614,0.234,0.614,0.679,0.0108,0.34,-12.571,0.0342,113.083,4,0.758
77,Velouria,Pixies,1990-08-13,1,0.488,0.00145,0.488,0.642,0.239,0.0817,-12.578,0.0319,124.624,4,0.523
78,No Me Importa Morir,El Otro Yo,2000-01-01,0,0.504,0.126,0.504,0.95,0.00273,0.273,-5.326,0.0654,151.225,4,0.575
79,Viajero,El Otro Yo,2010-01-24,0,0.514,0.164,0.514,0.927,0.0,0.677,-6.459,0.0397,146.085,4,0.548
80,La Música,El Otro Yo,1999,0,0.685,0.338,0.685,0.8,0.000753,0.0892,-7.078,0.0939,130.072,4,0.561
81,Waiting For October,Polaris,2002-01-01,28,0.352,0.00768,0.352,0.841,0.038,0.266,-8.003,0.0486,118.985,4,0.368
82,Summerbaby,Polaris,2002-01-01,24,0.538,0.00992,0.538,0.69,0.423,0.249,-8.852,0.0439,182.987,4,0.468
83,Two Weeks,Grizzly Bear,2009-05-24,69,0.537,0.289,0.537,0.712,0.00568,0.08,-5.597,0.0286,159.871,4,0.704
84,My Body,Young the Giant,2011,42,0.488,0.0011,0.488,0.909,1.02e-05,0.456,-6.591,0.0929,129.774,4,0.643
85,Time to Pretend,MGMT,2007-12-14,72,0.438,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,100.99,3,0.421
86,Float On,Modest Mouse,2004-04-05,72,0.649,0.013,0.649,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,4,0.553
87,Fluorescent Adolescent,Arctic Monkeys,2007-07-08,0,0.654,0.00146,0.654,0.828,0.000144,0.122,-5.377,0.0281,112.056,4,0.79
88,Plage,Crystal Fighters,2010-10-03,0,0.689,0.0869,0.689,0.83,0.0216,0.132,-6.423,0.0414,134.037,4,0.307
89,Another Sunny Day,Belle & Sebastian,2006,3,0.402,0.00292,0.402,0.776,0.0,0.0643,-5.408,0.0409,156.091,4,0.833
90,Pumpin Blood,Various Artists,2014-02-11,39,0.618,0.000469,0.618,0.848,0.522,0.189,-4.36,0.0279,118.998,4,0.413
91,Let's Dance to Joy Division,The Wombats,2007-11-05,65,0.397,0.00125,0.397,0.839,0.0,0.576,-6.674,0.102,116.947,4,0.764
92,Best Day Of My Life,American Authors,2014-01-01,79,0.673,0.0591,0.673,0.902,0.000262,0.0558,-2.392,0.0346,100.012,4,0.538
93,From The Sun,Unknown Mortal Orchestra,2013-10-22,30,0.483,0.0411,0.483,0.399,0.0112,0.0936,-13.652,0.0595,83.2,4,0.141
94,The Opposite of Afternoon,Unknown Mortal Orchestra,2013-02-05,40,0.529,0.779,0.529,0.574,0.188,0.205,-9.175,0.334,118.469,4,0.58
95,Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,2013-10-22,35,0.766,0.124,0.766,0.806,0.171,0.119,-10.011,0.0403,123.509,4,0.76
96,Try Me out Sometime,BRONCHO,2013-05-21,44,0.451,0.00685,0.451,0.849,0.417,0.334,-6.832,0.031,87.156,3,0.346
97,Catamaran,Allah-Las,2012-10-28,0,0.564,0.00692,0.564,0.846,0.00175,0.0452,-5.897,0.0437,122.035,4,0.696
98,Better Than Mine,Allah-Las,2014-09-15,0,0.327,0.0736,0.327,0.756,0.536,0.126,-4.843,0.0311,186.33,4,0.948
99,Giants,Bear Hands,2014-02-18,0,0.467,0.00686,0.467,0.855,0.0126,0.0793,-5.485,0.114,184.087,4,0.425
100,If You Wanna,The Vaccines,2011-03-11,0,0.352,3.03e-05,0.352,0.866,2.92e-05,0.295,-3.274,0.0392,165.209,4,0.544
101,Mooncalf,Active Bird Community,2014-05-20,15,0.497,0.0517,0.497,0.824,0.00126,0.521,-5.616,0.0598,132.866,4,0.569
102,Cigarette Daydreams,Cage The Elephant,2013-10-04,0,0.637,0.0832,0.637,0.676,0.0,0.0819,-3.427,0.0262,113.94,4,0.275
103,Take It Or Leave It,Cage The Elephant,2013-10-04,0,0.702,0.0281,0.702,0.848,0.000252,0.0593,-3.019,0.0839,119.948,4,0.649
104,Post Break-Up Sex,The Vaccines,2011-03-11,0,0.402,7.32e-05,0.402,0.902,0.00465,0.261,-4.115,0.0469,136.883,4,0.569
105,The Man's Machine,Jamie T,2009-01-01,36,0.295,0.229,0.295,0.713,0.0,0.13,-6.129,0.0816,83.149,4,0.531
106,Alicia Quays,Jamie T,2007-01-01,31,0.865,0.324,0.865,0.567,0.0,0.176,-4.818,0.0555,89.983,4,0.676
107,The Dance Of The Young Professionals,Jamie T,2009-01-01,7,0.716,0.185,0.716,0.704,0.0,0.294,-5.1,0.0457,140.041,4,0.948
108,Sticks 'N' Stones,Jamie T,2009-01-01,61,0.545,0.0572,0.545,0.851,0.0,0.403,-3.569,0.0935,179.947,4,0.787
