,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
378,Freaking Out The Neighborhood,Mac DeMarco,2013-08-09,53,0.573,0.061,0.573,0.819,0.029,0.386,-5.735,0.0866,143.263,4,0.832
379,Lake Michigan,Rogue Wave,2007-01-01,0,0.457,0.192,0.457,0.817,1.64e-06,0.0982,-5.653,0.0368,80.901,3,0.772
380,Rain,Bishop Allen,2007-07-24,33,0.621,0.214,0.621,0.889,4.2e-05,0.118,-5.595,0.0528,168.032,4,0.808
381,Sly - International,The Cat Empire,2007-06-25,0,0.516,0.0119,0.516,0.788,0.0,0.341,-4.492,0.0841,169.349,4,0.751
382,Waves,Electric Guest,2012-04-20,0,0.769,0.0254,0.769,0.833,6.35e-05,0.0974,-4.651,0.0369,120.018,4,0.863
383,Lights Out,Santigold,2008-04-29,43,0.76,0.293,0.76,0.83,0.299,0.0475,-5.709,0.0451,134.931,4,0.945
384,Still Young,The Cat Empire,2013-05-17,51,0.613,0.00727,0.613,0.762,0.0,0.188,-4.679,0.0359,149.225,4,0.743
385,Orange Juice,Stanley Brinks and The Wave Pictures,2014-01-20,42,0.733,0.241,0.733,0.721,8.61e-05,0.133,-5.117,0.0629,117.05,4,0.797
386,I Think We're Alone Now,Tommy James & The Shondells,1989,29,0.78,0.2,0.78,0.437,0.000174,0.0679,-10.277,0.0606,131.225,4,0.82
387,Disco Dancing,Sean Nicholas Savage,2010-11-09,0,0.696,0.0849,0.696,0.621,1.02e-06,0.0929,-9.184,0.0574,90.077,4,0.809
388,La Breeze - Radio Edit,Simian,2003-01-01,15,0.569,0.0243,0.569,0.777,0.000395,0.16,-3.846,0.0302,173.873,4,0.495
389,Surfing on a Rocket,Air,2004-01-26,46,0.505,0.00076,0.505,0.755,0.0725,0.348,-7.568,0.0315,157.993,4,0.532
390,Dare I Care,The Voidz,2014-09-23,0,0.312,0.0232,0.312,0.929,0.0893,0.203,-5.264,0.113,104.666,4,0.335
391,On Melancholy Hill,Gorillaz,2010-03-03,76,0.689,1.51e-05,0.689,0.739,0.509,0.064,-5.81,0.026,120.423,4,0.578
392,Chicago,Sufjan Stevens,2005-01-01,0,0.561,0.568,0.561,0.448,0.0,0.0888,-9.679,0.0303,125.082,4,0.479
393,Alone Again Or,Calexico,2003,8,0.512,0.198,0.512,0.503,0.000369,0.0813,-17.77,0.0438,88.482,4,0.372
394,Fantastic Cat,Takako Minekawa,1997,33,0.781,0.175,0.781,0.684,0.105,0.116,-10.282,0.0402,131.255,4,0.978
395,My Old Ways,Dr. Dog,2007-01-01,8,0.57,0.507,0.57,0.705,4.54e-06,0.45,-6.197,0.0297,126.85,4,0.407
396,Always Alright,Alabama Shakes,2013-12-12,0,0.693,0.784,0.693,0.62,0.844,0.112,-6.509,0.0424,106.346,4,0.571
397,Now I Live,The Beets,2011-10-24,0,0.353,0.0757,0.353,0.555,0.000193,0.234,-15.466,0.0399,132.445,4,0.792
398,Carry On,fun.,2012-02-21,61,0.388,0.118,0.388,0.694,0.000293,0.082,-5.769,0.0735,145.434,5,0.365
399,A Minha Menina,The Bees,2002,0,0.53,0.806,0.53,0.809,0.0122,0.215,-8.222,0.0514,98.88,4,0.804
400,Dead Sea,The Lumineers,2012-01-01,0,0.712,0.807,0.712,0.321,4.65e-06,0.207,-11.068,0.0282,94.044,4,0.482
401,Run With the Boys,Carl Barât,2010,0,0.381,0.00218,0.381,0.811,1.65e-06,0.153,-5.974,0.0611,186.793,4,0.703
402,Black Hole,She & Him,2008-03-18,28,0.673,0.805,0.673,0.513,2.12e-06,0.191,-7.705,0.0412,129.231,4,0.482
403,Young Folks,Peter Bjorn and John,2006-01-01,71,0.699,0.0164,0.699,0.812,0.000763,0.105,-6.005,0.0377,138.185,4,0.662
404,Tear in My Heart,Twenty One Pilots,2015-05-15,75,0.655,0.0189,0.655,0.632,0.0,0.0722,-4.802,0.0489,120.113,4,0.447
405,We Are Going To Be Friends (Live),The White Stripes,2010-03-15,0,0.481,0.564,0.481,0.581,0.0,0.955,-10.941,0.0481,102.67,4,0.398
406,I Would Do It All Again,L'aupaire,2016-03-11,37,0.707,0.191,0.707,0.466,0.00538,0.151,-7.482,0.0333,115.996,4,0.482
407,Stolen Dance - Spotify Sessions,Milky Chance,2014-10-13,40,0.758,0.556,0.758,0.451,0.00011,0.658,-11.285,0.0403,113.994,4,0.426
408,Mr. Brightside,The Killers,2004-06-15,68,0.355,0.00119,0.355,0.918,0.0,0.0971,-4.36,0.0746,148.114,4,0.24
409,12:51,The Strokes,2003-10-28,61,0.451,0.312,0.451,0.889,0.8,0.558,-3.838,0.0379,145.056,4,0.592
410,Go,The Apples In Stereo,2000,20,0.524,0.151,0.524,0.929,0.0291,0.311,-1.29,0.034,113.445,4,0.658
411,Psyche's Dagger,Fly Golden Eagle,2011-11-25,40,0.348,0.00273,0.348,0.882,1.68e-05,0.422,-3.766,0.0649,165.845,4,0.64
412,Girlfriend in a Coma - 2011 Remaster,The Smiths,1987-09-28,56,0.68,0.126,0.68,0.626,1.3e-06,0.0995,-8.519,0.0255,104.333,4,0.96
413,Everyday I Love You Less And Less,Kaiser Chiefs,2012-05-11,39,0.49,0.00855,0.49,0.955,0.0,0.281,-3.339,0.0603,160.051,4,0.502
414,Wonderful Christmastime,Various Artists,2012-01-01,0,0.633,0.00957,0.633,0.693,0.0,0.114,-5.428,0.0296,140.081,4,0.935
415,Aguardiente,Los Vinagres,2015-10-16,20,0.355,6.52e-05,0.355,0.716,0.0345,0.219,-7.401,0.0715,194.806,4,0.783
416,What You Know,Two Door Cinema Club,2010-02-07,18,0.55,0.000665,0.55,0.753,7.74e-06,0.0921,-4.003,0.0407,139.048,4,0.841
417,Something Good Can Work,Two Door Cinema Club,2010-02-07,1,0.651,0.00563,0.651,0.841,0.00116,0.19,-5.099,0.0335,119.939,4,0.661
418,The Underdog,Spoon,2007-07-10,0,0.693,0.0602,0.693,0.646,0.00132,0.678,-6.484,0.0313,145.116,4,0.89
419,Way Too Much,Wavves,2015-06-24,0,0.545,0.0158,0.545,0.874,0.0,0.325,-5.581,0.064,82.033,4,0.639
420,Blood On My Hands,The King Blues,2008,0,0.353,0.0387,0.353,0.825,0.0,0.67,-5.21,0.097,93.397,4,0.78
421,We Ain't Never Done,The King Blues,2008,0,0.504,0.179,0.504,0.77,0.0,0.606,-5.079,0.0348,95.786,4,0.746
422,The Bullingdon Boys,The King Blues,2017-01-27,2,0.445,0.0644,0.445,0.895,0.0,0.123,-7.372,0.249,188.056,4,0.481
423,We Are Young (feat. Janelle Monáe),fun.,2012-02-21,73,0.378,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4,0.735
424,Some Nights,fun.,2012-02-21,71,0.672,0.0178,0.672,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,4,0.392
425,Everybody Talks,Neon Trees,2012-01-01,81,0.471,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,4,0.725
426,No Me Acuerdo de Nada,Meteoros,2015-11-06,30,0.6,0.0982,0.6,0.933,0.00041,0.119,-3.172,0.0474,79.983,4,0.605
427,Bamboo,Hinds,2015-08-28,29,0.456,0.382,0.456,0.703,0.00395,0.112,-4.305,0.0324,101.287,4,0.589
428,Garden,Hinds,2016-01-08,30,0.172,0.000888,0.172,0.675,0.274,0.0885,-3.608,0.034,181.129,4,0.536
429,Brand New Start,Little Joy,2008-11-04,0,0.58,0.736,0.58,0.625,0.737,0.156,-8.323,0.0327,120.41,4,0.786
430,Selfish Jean,Travis,2007-03-23,0,0.336,0.000379,0.336,0.963,7.52e-06,0.22,-4.395,0.105,182.891,4,0.364
431,Kaputt,Destroyer,2011-01-25,0,0.642,0.0777,0.642,0.721,0.142,0.185,-8.926,0.0341,109.992,4,0.581
432,Pedestrian at Best,Courtney Barnett,2015-03-23,0,0.479,4.61e-06,0.479,0.854,5.72e-05,0.372,-6.101,0.0405,136.067,4,0.535
433,Complicated,Campodónico,2016-09-09,2,0.343,0.0408,0.343,0.911,2.93e-06,0.0681,-6.353,0.108,175.158,4,0.542
434,Tony Stark,The Symposium,2014-10-31,45,0.729,0.0343,0.729,0.342,0.834,0.116,-15.138,0.301,175.922,4,0.72
435,Dull Boy,The Growlers,2015-01-19,0,0.62,0.00106,0.62,0.678,0.00853,0.0716,-8.364,0.0251,104.954,4,0.807
436,Everywhere,Fleetwood Mac,1987-04-13,0,0.69,0.218,0.69,0.54,0.00657,0.115,-10.516,0.0317,114.846,4,0.764
437,I'm Flying Away,The Dead Milkmen,1995,13,0.789,0.0234,0.789,0.545,8.11e-05,0.303,-14.192,0.0504,107.62,4,0.963
438,Cell Mates,Mariachi El Bronx,2009-08-17,0,0.314,0.451,0.314,0.875,0.00763,0.262,-5.258,0.0549,165.676,3,0.914
439,Wake Up,Arcade Fire,2004-06-16,65,0.252,0.12,0.252,0.8,0.0538,0.118,-4.845,0.0368,139.361,4,0.29
440,First,Cold War Kids,2015-03-09,57,0.464,0.0225,0.464,0.714,1.62e-06,0.447,-3.969,0.0303,77.996,4,0.58
441,Harness Your Hopes,Pavement,1997,0,0.601,0.276,0.601,0.576,0.028,0.12,-7.79,0.0394,107.88,4,0.559
442,Floating Vibes,Surfer Blood,2010-01-19,0,0.521,0.176,0.521,0.702,0.00961,0.374,-4.903,0.0306,126.881,4,0.469
443,Cannonball,The Breeders,1993-08-30,11,0.502,0.00915,0.502,0.758,0.783,0.284,-9.76,0.0407,112.508,4,0.729
444,Rollercoaster,Bleachers,2014-07-14,66,0.421,0.00205,0.421,0.79,0.000309,0.148,-6.227,0.0538,162.024,4,0.279
445,Someday,The Strokes,2001-08-27,28,0.543,0.0033,0.543,0.531,1.51e-06,0.326,-7.481,0.0301,105.979,4,0.671
446,1901,Phoenix,2009,64,0.607,0.0588,0.607,0.835,4.71e-05,0.195,-5.427,0.0415,144.087,4,0.719
447,Unbelievers,Vampire Weekend,2013-05-27,9,0.644,0.142,0.644,0.811,0.000629,0.169,-7.681,0.0499,154.903,4,0.831
448,One of Us,New Politics,2017-03-10,39,0.503,0.216,0.503,0.908,0.0,0.366,-3.681,0.0598,200.147,4,0.857
449,This Charming Man,Death Cab for Cutie,2002,0,0.506,0.00785,0.506,0.915,0.0,0.11,-6.03,0.0473,112.792,4,0.963
450,Airstream Driver,Gomez,2009-01-01,19,0.618,0.131,0.618,0.711,0.079,0.173,-5.819,0.0289,95.025,4,0.648
451,Molly's Chambers,Kings of Leon,2003-08-19,0,0.596,0.232,0.596,0.899,3.98e-06,0.212,-3.967,0.0504,146.448,4,0.939
452,Ugly Cherries,PWR BTTM,2015-09-18,35,0.191,0.0505,0.191,0.904,0.0,0.414,-5.146,0.0905,150.174,4,0.336
453,Silly,PWR BTTM,2017-05-12,0,0.213,0.0222,0.213,0.875,0.00514,0.0844,-5.233,0.0739,144.143,4,0.175
454,I Wanna Boi,PWR BTTM,2015-09-18,54,0.371,0.431,0.371,0.42,0.0,0.0597,-6.224,0.0513,83.452,3,0.564
455,Silver Lining,Rilo Kiley,2007-08-20,54,0.709,0.289,0.709,0.53,4.54e-05,0.0929,-4.985,0.0288,117.11,4,0.692
456,Portions for Foxes,Rilo Kiley,2004-07-27,53,0.474,0.000938,0.474,0.807,0.0121,0.154,-3.635,0.035,138.913,4,0.302
457,Serving Goffman,PWR BTTM,2015-09-18,24,0.496,0.353,0.496,0.84,0.0,0.319,-5.718,0.205,140.39,4,0.415
458,Nu 1,PWR BTTM,2015-09-18,25,0.441,0.288,0.441,0.57,0.0,0.0948,-7.755,0.0737,146.473,4,0.158
459,New Direction,Black Lips,2011-06-07,0,0.419,0.00673,0.419,0.949,0.0,0.301,-4.253,0.0753,183.979,4,0.868
460,You! Me! Dancing!,Los Campesinos!,2008-04-01,24,0.423,0.0304,0.423,0.948,0.000711,0.102,-3.907,0.0911,165.044,4,0.327
461,Welcome to Your Life,Grouplove,2017-08-17,52,0.511,0.00223,0.511,0.617,0.0,0.201,-5.883,0.0313,90.951,4,0.404
462,Do You Love Someone,Grouplove,2017-08-17,44,0.521,0.000785,0.521,0.879,0.0,0.666,-4.255,0.0566,129.056,4,0.714
463,Shark Attack,Grouplove,2013-09-17,46,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4,0.273
464,Hollywood,Grouplove,2017-08-17,35,0.546,0.289,0.546,0.426,0.0,0.0866,-6.713,0.032,144.697,4,0.336
465,Last Train to London,Electric Light Orchestra,1979-05-31,68,0.727,0.396,0.727,0.537,0.000789,0.349,-9.785,0.0295,121.493,4,0.954
466,Left Hand Free,alt-J,2014-09-22,1,0.698,0.452,0.698,0.876,0.0133,0.0824,-4.45,0.0486,101.992,4,0.81
467,Mary-Jane,My Name Is George,2008-08-04,0,0.466,0.000345,0.466,0.889,0.00155,0.122,-4.933,0.0312,103.597,4,0.679
468,I Want You To Want Me,Various Artists,2009-01-01,33,0.296,0.0254,0.296,0.936,0.000299,0.405,-4.023,0.108,168.982,4,0.167
469,Nobody Cares,Superorganism,2017-05-24,21,0.525,0.0877,0.525,0.676,0.000122,0.7,-4.741,0.116,89.018,4,0.442
470,The Next Time Around,Little Joy,2008,38,0.754,0.788,0.754,0.612,0.0342,0.136,-7.773,0.0313,120.039,4,0.967
471,Last of The Dreamers,The King Blues,2011-04-18,0,0.524,0.00266,0.524,0.666,0.0,0.515,-4.021,0.0323,90.114,4,0.141
472,Pick a Trick,In Flagranti,2009-04-21,31,0.837,0.00376,0.837,0.822,0.301,0.0822,-8.036,0.0866,91.94,4,0.92
473,Life Is Confusing,Langhorne Slim,2017-11-10,44,0.373,0.955,0.373,0.216,0.00105,0.0739,-11.41,0.0326,129.03,4,0.496
474,Sober Up (Feat. Rivers Cuomo),AJR,2017-06-09,0,0.649,0.271,0.649,0.564,0.0,0.0862,-6.775,0.0278,93.022,4,0.798
475,All The Stars (with SZA),Kendrick Lamar,2018-01-04,61,0.705,0.0287,0.705,0.628,0.0193,0.0863,-5.362,0.0489,96.799,4,0.465
476,It’s All Good,Superorganism,2018-03-02,39,0.717,0.0387,0.717,0.69,9.89e-05,0.253,-6.272,0.212,110.026,4,0.586
477,Nobody Cares,Superorganism,2018-03-02,39,0.525,0.0877,0.525,0.676,0.000122,0.7,-4.741,0.116,89.018,4,0.442
478,Something For Your M.I.N.D.,Superorganism,2018-03-02,62,0.698,0.132,0.698,0.542,0.00117,0.199,-4.317,0.131,140.096,4,0.664
479,Everybody Wants To Be Famous,Superorganism,2018-03-02,51,0.665,0.0235,0.665,0.842,0.0,0.0763,-4.06,0.255,86.993,4,0.629
480,Coming Back Around,Tayla,2017-06-16,11,0.779,0.333,0.779,0.765,1.93e-05,0.137,-2.88,0.0755,92.041,4,0.538
481,Shuggie,Foxygen,2013-01-22,61,0.467,0.101,0.467,0.645,0.00524,0.144,-7.614,0.0364,127.947,3,0.71
482,The Yeah Yeah Yeah Song,The Flaming Lips,2006-03-31,39,0.636,0.00257,0.636,0.887,5.18e-05,0.293,-4.354,0.0475,107.984,4,0.35
483,Mile End,Pulp,1995-10-30,0,0.605,0.141,0.605,0.775,0.000472,0.0918,-8.909,0.0412,98.361,4,0.406
484,I'm All Wrong,Juan Wauters,2015-05-12,33,0.654,0.842,0.654,0.431,5.98e-05,0.102,-8.086,0.0275,126.293,4,0.748
485,Leave It In My Dreams,The Voidz,2018-03-30,59,0.6,0.0226,0.6,0.746,0.0119,0.109,-4.696,0.0355,118.551,4,0.614
486,Beat the Horse,Pomplamoose,2009-03-11,12,0.713,0.0405,0.713,0.406,9.14e-06,0.0335,-7.892,0.0295,104.002,4,0.834
487,Solara,The Smashing Pumpkins,2018-06-08,14,0.543,0.000201,0.543,0.872,0.16,0.113,-3.035,0.0685,123.447,4,0.363
488,We've Been Had,The Walkmen,2002,25,0.43,0.803,0.43,0.573,0.000276,0.131,-7.474,0.0314,98.346,4,0.454
489,Turn,The Wombats,2018-02-09,61,0.531,0.00743,0.531,0.847,0.0,0.0916,-3.907,0.0529,105.03,4,0.38
490,Cheetah Tongue,The Wombats,2018-02-09,55,0.533,0.0426,0.533,0.967,0.000432,0.132,-3.066,0.057,95.008,4,0.603
491,Heart Of The Matter,The Libertines,2015-09-11,24,0.459,0.348,0.459,0.904,0.0,0.278,-4.759,0.0817,180.048,4,0.642
492,Another Level,Crystal Fighters,2018-09-20,39,0.613,0.00768,0.613,0.813,0.0,0.708,-7.275,0.095,96.03,4,0.814
493,Ready To Win,Tokyo Police Club,2018-10-05,0,0.653,0.0624,0.653,0.639,9.03e-05,0.077,-7.524,0.0386,157.233,4,0.774
494,Louder Than Bombs,The Parlotones,2010-06-04,0,0.337,0.00104,0.337,0.799,0.0,0.1,-5.271,0.0673,167.855,4,0.235
495,The Golden Age,The Asteroids Galaxy Tour,2014-09-12,0,0.558,0.0202,0.558,0.906,2.18e-05,0.12,-2.866,0.0464,169.955,4,0.697
496,Around the Bend,The Asteroids Galaxy Tour,2008-11-03,44,0.704,0.11,0.704,0.907,0.00982,0.334,-6.408,0.0373,95.023,4,0.712
497,The Sun Ain't Shining No More,The Asteroids Galaxy Tour,2009-03-16,31,0.56,0.517,0.56,0.948,5.04e-06,0.103,-3.182,0.0961,118.97,4,0.613
498,Tin Pan Boy,Selena Gomez,2018-05-18,35,0.386,1.92e-05,0.386,0.749,6.98e-06,0.334,-6.734,0.115,184.092,4,0.517
499,Almost Had to Start a Fight/In and Out of Patience,Parquet Courts,2018-05-18,1,0.412,0.106,0.412,0.938,1.58e-05,0.857,-2.77,0.175,92.628,4,0.821
500,Kila,The Cat Empire,2018-10-01,26,0.594,0.00705,0.594,0.851,1.69e-05,0.388,-4.753,0.033,116.058,4,0.827
501,Found You,Django Django,2015-05-01,0,0.575,2.03e-05,0.575,0.716,0.00234,0.0819,-5.298,0.0254,93.287,4,0.429
502,Vibrations,Montero,2018-02-02,30,0.462,0.000325,0.462,0.631,0.00183,0.0487,-5.633,0.0273,141.938,4,0.31
503,Fade to Black,Born Ruffians,2018-02-16,0,0.31,0.000625,0.31,0.854,0.532,0.103,-3.89,0.0599,185.224,4,0.421
504,Bodys,Car Seat Headrest,2018-02-16,5,0.518,0.00135,0.518,0.842,0.0115,0.132,-7.361,0.0533,143.944,4,0.249
505,Boy,The Asteroids Galaxy Tour,2019-03-01,18,0.808,0.218,0.808,0.645,0.0207,0.115,-6.176,0.097,103.999,4,0.745
506,Casual Acquaintances,The Growlers,2018-07-27,35,0.532,0.0801,0.532,0.819,1.87e-05,0.265,-3.981,0.0604,170.048,4,0.566
507,"Holland, 1945",Neutral Milk Hotel,1998-02-20,56,0.0621,0.0399,0.0621,0.887,0.000156,0.619,-4.305,0.0632,198.441,4,0.48
508,The Killing Moon,Echo & the Bunnymen,1984-05-04,61,0.568,0.218,0.568,0.829,0.00418,0.0976,-7.066,0.0303,124.201,4,0.79
509,Comeback Kid,New Politics,2019-04-19,45,0.699,0.0213,0.699,0.9,2.79e-05,0.0668,-3.551,0.0421,104.002,4,0.765
510,Lemonade (2000),Tsunami Bomb,2016-02-12,32,0.371,0.0823,0.371,0.635,3.64e-06,0.0956,-5.064,0.0444,175.89,4,0.789
511,Oh Mandy,The Spinto Band,2005-01-01,40,0.509,0.0521,0.509,0.955,0.00021,0.105,-3.918,0.0396,137.063,4,0.557
512,Lisztomania,Phoenix,2009,66,0.635,0.0349,0.635,0.786,0.00767,0.497,-6.46,0.0377,97.54,4,0.305
513,Like Eating Glass,Bloc Party,2005-02-02,0,0.398,0.000409,0.398,0.981,0.000281,0.129,-4.855,0.165,160.225,4,0.226
514,Banquet,Bloc Party,2005-02-02,1,0.576,0.00013,0.576,0.935,0.017,0.0828,-4.911,0.051,150.227,4,0.875
515,Tungs,The Frights,2016-02-12,62,0.565,0.0697,0.565,0.618,6.37e-05,0.509,-11.316,0.104,106.337,4,0.5
516,Dancing Anymore,IS TROPICAL,2013-05-20,0,0.561,0.000425,0.561,0.724,0.493,0.121,-6.59,0.0274,127.014,4,0.386
517,Things You Should Be Knowing,The Cribs,2004,0,0.362,0.00368,0.362,0.934,0.0173,0.108,-4.71,0.0434,111.644,4,0.785
518,Trouble,Grapetooth,2018-11-09,39,0.621,0.0535,0.621,0.922,7.42e-06,0.151,-2.872,0.0525,99.999,4,0.913
519,The Sporting Life,The Decemberists,2005-03-22,39,0.653,0.114,0.653,0.811,0.00132,0.109,-6.609,0.0635,106.194,4,0.873
520,Ragged Wood,Fleet Foxes,2008-06-09,48,0.362,0.0995,0.362,0.658,0.0102,0.0602,-5.929,0.0292,104.21,4,0.155
521,San Francisco,Foxygen,2013-01-22,54,0.623,0.245,0.623,0.65,0.000913,0.146,-7.953,0.0274,116.74,4,0.879
522,Hell Is Other People,Miniature Tigers,2020-10-07,28,0.256,0.206,0.256,0.565,0.00254,0.245,-5.956,0.0354,76.01,4,0.378
523,White Magic,Miniature Tigers,2008-03-04,15,0.5,0.466,0.5,0.543,0.0,0.0754,-7.965,0.0266,90.107,4,0.451
524,Black Magic,Miniature Tigers,2008-03-04,11,0.344,0.116,0.344,0.693,0.0,0.279,-3.981,0.0835,133.049,4,0.513
525,The Start Of Something,Voxtrot,2005-01-01,55,0.632,0.179,0.632,0.733,1.04e-05,0.0988,-6.924,0.0293,107.056,4,0.707
526,A-Punk,Vampire Weekend,2008-01-27,23,0.551,0.0102,0.551,0.821,0.0438,0.153,-4.489,0.0539,174.923,4,0.842
527,Myriad Harbour,The New Pornographers,2007-08-20,40,0.684,0.212,0.684,0.799,4.32e-05,0.0671,-6.097,0.0324,107.525,4,0.851
528,"14,000 Things to Be Happy About",Troubled Hubble,2015-07-24,6,0.369,1.6e-05,0.369,0.945,0.868,0.315,-5.159,0.066,144.974,4,0.483
529,I Love My Canoe,Troubled Hubble,2015-07-24,5,0.424,0.0159,0.424,0.797,0.0,0.108,-7.182,0.115,120.806,4,0.559
530,I'm Pretty Sure I Can See Molecules,Troubled Hubble,2015-07-24,4,0.5,0.000493,0.5,0.992,0.0334,0.295,-3.413,0.117,112.282,4,0.6
531,To Be Alive and Alone,Troubled Hubble,2015-07-24,3,0.458,0.000236,0.458,0.935,0.00974,0.106,-6.563,0.0487,138.087,4,0.684
532,Paint Me Silver,Pond,2018-01-10,51,0.355,0.00533,0.355,0.821,0.00304,0.216,-6.134,0.049,177.427,4,0.702
533,Locket,Crumb,2017-06-23,68,0.393,0.758,0.393,0.481,0.73,0.0869,-10.462,0.0273,98.462,4,0.0763
